description,name,PONAME,ZIP,latitude,POP2001,STATE,AREA,zip2,longitude,SUMBLKPOP,geometry
,Zip:,NATIONAL FOREST/PARK,00072,48.8168,116,WA,1377.85063,72,-121.36,121,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.514892,48.642194 -120.752222,48.65759 -120.659844,48.726874 -120.851199,49.000159 -121.949839,49.000159 -121.954238,48.934175 -121.961936,48.644943 -121.729891,48.643293</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,AUBURN,98001,47.3091,25888,WA,18.6218,98001,-122.265,25644,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.228623,47.271918 -122.226973,47.34615 -122.296257,47.357697 -122.293508,47.257071 -122.262715,47.257621</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,LONG ISLAND,00195,46.4502,0,WA,8.3092,195,-123.967,0,
,Zip:,AUBURN,98002,47.3086,30822,WA,7.32723,98002,-122.215,30908,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.229173,47.353848 -122.226973,47.34615 -122.228623,47.271918 -122.229723,47.265869 -122.205528,47.343401</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,OKANOGAN NATL PARK,00076,48.8402,30,WA,733.72343,76,-120.409,46,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-120.654895,48.522872 -120.454192,48.596555 -120.509729,48.652091 -120.345318,48.86764 -120.074232,48.694431 -119.931816,48.770313 -119.919169,49.000159 -120.851199,49.000159 -120.659844,48.726874 -120.752222,48.65759 -120.701634,48.53167</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,FEDERAL WAY,98003,47.3053,41949,WA,11.75271,98003,-122.314,41662,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.293508,47.257071 -122.296257,47.357697 -122.312203,47.351649 -122.32485,47.348899 -122.334748,47.342851 -122.335848,47.26367 -122.334748,47.259271</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,USDOE HANFORD SITE,00073,46.5168,5,WA,428.0426,73,-119.533,4,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-119.268123,46.409721 -119.486971,46.7116 -119.800397,46.62912 -119.7872,46.444913 -119.591446,46.37453 -119.416038,46.379479 -119.398992,46.370681</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BELLEVUE,98004,47.6187,22434,WA,7.02219,98004,-122.204,22275,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.209927,47.648579 -122.233022,47.639231 -122.219825,47.615586 -122.188482,47.578745 -122.187933,47.579295 -122.185733,47.646929</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,YAKIMA INDIAN RES,00074,46.2379,500,WA,1583.75693,74,-120.922,428,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.446708,46.044608 -121.175072,46.044608 -120.340369,46.041309 -120.331021,46.041309 -120.199603,46.07815 -120.163861,46.222216 -120.225446,46.314044 -120.622453,46.316793 -120.862196,46.327241 -120.859996,46.445463 -120.691186,46.443813 -120.691186,46.448212 -120.544371,46.489453 -120.652146,46.503199 -120.894638,46.519695 -121.423063,46.492752 -121.391171,46.393775 -121.52369,46.388277 -121.52369,46.044058</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BELLEVUE,98005,47.6156,16927,WA,7.51713,98005,-122.169,16999,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.153291,47.660676 -122.158789,47.660676 -122.185733,47.646929 -122.187933,47.579295 -122.169237,47.580395</coordinates></LinearRing></outerBoundaryIs></Polygon>"
