"Zip Code","Neighborhood","Sci-Fi","Fantasy","Programming","Geek Media","ALL","Facebook Population","Census Population","% of pop (census)","% of pop (fb)","Sci-Fi %","Fantasy %","Programming %","Geek Media %"
98001,"Federal Way",1300,800,180,280,2180,22520,31911,0.07,0.1,0.06,0.04,0.01,0.01
98002,"Federal Way",2720,1720,580,560,4540,47620,31647,0.14,0.1,0.06,0.04,0.01,0.01
98003,"Federal Way",4500,2740,820,1120,7300,80760,44151,0.17,0.09,0.06,0.03,0.01,0.01
98004,"Bellevue",3140,1660,680,1020,5240,52260,27946,0.19,0.1,0.06,0.03,0.01,0.02
98005,"Bellevue",540,280,60,280,980,9740,17714,0.06,0.1,0.06,0.03,0.01,0.03
98006,"Bellevue",6160,3900,1080,2580,11180,130280,36364,0.31,0.09,0.05,0.03,0.01,0.02
98007,"Bellevue",2600,1500,600,920,4580,55380,24889,0.18,0.08,0.05,0.03,0.01,0.02
98008,"Bellevue",560,260,120,260,920,7400,24411,0.04,0.12,0.08,0.04,0.02,0.04
98010,"Maple Valley",900,560,280,160,1560,21620,5025,0.31,0.07,0.04,0.03,0.01,0.01
98011,"Woodinville",940,460,140,240,1420,12040,29212,0.05,0.12,0.08,0.04,0.01,0.02
98014,"Snoqualmie",260,140,0,100,380,3200,6765,0.06,0.12,0.08,0.04,0.0,0.03
98019,"Snoqualmie",680,400,120,140,1020,10180,10725,0.1,0.1,0.07,0.04,0.01,0.01
98023,"Federal Way",5240,3020,1120,1040,8420,87260,47510,0.18,0.1,0.06,0.03,0.01,0.01
98024,"Snoqualmie",220,140,0,40,340,3580,5650,0.06,0.09,0.06,0.04,0.0,0.01
98027,"Isaquah",960,460,140,260,1400,12480,26141,0.05,0.11,0.08,0.04,0.01,0.02
98028,"North Seattle",680,480,140,320,1380,13380,20419,0.07,0.1,0.05,0.04,0.01,0.02
98029,"Isaquah",1760,900,400,640,2940,32420,24348,0.12,0.09,0.05,0.03,0.01,0.02
98030,"Kent",900,400,160,200,1360,15380,33769,0.04,0.09,0.06,0.03,0.01,0.01
98031,"Kent",4620,2700,920,1080,7640,85080,36581,0.21,0.09,0.05,0.03,0.01,0.01
98032,"Kent",840,380,100,140,1340,14400,33853,0.04,0.09,0.06,0.03,0.01,0.01
98033,"Kirkland",1760,960,320,820,2940,25320,34338,0.09,0.12,0.07,0.04,0.01,0.03
98034,"Kirkland",5100,3180,820,1600,8340,74940,40407,0.21,0.11,0.07,0.04,0.01,0.02
98038,"Isaquah",1940,1120,240,400,3120,29660,31171,0.1,0.11,0.07,0.04,0.01,0.01
98040,"Mercer Island",1400,720,300,720,2660,25980,22699,0.12,0.1,0.05,0.03,0.01,0.03
98042,"Kent",2180,1280,320,360,3380,42920,43673,0.08,0.08,0.05,0.03,0.01,0.01
98045,"Snoqualmie",820,480,180,260,1400,10920,13888,0.1,0.13,0.08,0.04,0.02,0.02
98052,"Redmond",9900,5620,2140,5220,17440,133360,58442,0.3,0.13,0.07,0.04,0.02,0.04
98053,"Redmond",760,360,160,240,1180,10420,18784,0.06,0.11,0.07,0.03,0.02,0.02
98055,"Renton",880,580,120,160,1340,10220,21904,0.06,0.13,0.09,0.06,0.01,0.02
98056,"Renton",1060,580,200,320,1720,17360,32489,0.05,0.1,0.06,0.03,0.01,0.02
98057,"Renton",600,300,140,160,940,10520,10613,0.09,0.09,0.06,0.03,0.01,0.02
98058,"Maple Valley",4680,260,640,1200,7420,83120,41938,0.18,0.09,0.06,0.0,0.01,0.01
98059,"Maple Valley",1020,720,140,360,1760,15560,34463,0.05,0.11,0.07,0.05,0.01,0.02
98065,"Snoqualmie",380,220,100,140,620,5700,12699,0.05,0.11,0.07,0.04,0.02,0.02
98072,"Woodinville",780,520,200,300,1460,13720,22312,0.07,0.11,0.06,0.04,0.01,0.02
98074,"Samamish",1300,980,280,640,2620,30340,25748,0.1,0.09,0.04,0.03,0.01,0.02
98075,"Samamish",440,340,100,260,900,10000,20715,0.04,0.09,0.04,0.03,0.01,0.03
98077,"Woodinville",200,160,80,80,360,2780,13585,0.03,0.13,0.07,0.06,0.03,0.03
98092,"Federal Way",1540,800,320,320,2560,24240,39816,0.06,0.11,0.06,0.03,0.01,0.01
98101,"Downtown Seattle",1680,780,300,760,2780,21440,10238,0.27,0.13,0.08,0.04,0.01,0.04
98102,"Capitol Hill/Eastlake",2220,1100,380,880,3680,25800,20756,0.18,0.14,0.09,0.04,0.01,0.03
98103,"Fremont/Greenlake",2760,1400,460,1200,4640,37520,45911,0.1,0.12,0.07,0.04,0.01,0.03
98104,"Downtown Seattle",1620,860,380,1140,3260,21200,13095,0.25,0.15,0.08,0.04,0.02,0.05
98105,"U District",4840,2880,920,1460,7980,60040,43924,0.18,0.13,0.08,0.05,0.02,0.02
98106,"West Seattle",1060,580,200,280,1680,18380,22873,0.07,0.09,0.06,0.03,0.01,0.02
98107,"Ballard",1060,420,140,400,1560,11460,21147,0.07,0.14,0.09,0.04,0.01,0.03
98108,"Beacon Hill",620,400,100,160,1100,14400,22374,0.05,0.08,0.04,0.03,0.01,0.01
98109,"Queen Anne",2380,1100,420,940,3880,35000,20715,0.19,0.11,0.07,0.03,0.01,0.03
98112,"Madison Park",780,320,180,380,1280,11000,21077,0.06,0.12,0.07,0.03,0.02,0.03
98115,"Ravenna",37820,20860,6740,11740,61640,559500,46206,1.33,0.11,0.07,0.04,0.01,0.02
98116,"West Seattle",1300,680,160,300,1960,18720,22241,0.09,0.1,0.07,0.04,0.01,0.02
98117,"Ballard",1820,960,220,600,2880,27440,31365,0.09,0.1,0.07,0.03,0.01,0.02
98118,"Seward Park",1080,520,200,380,1780,16760,42731,0.04,0.11,0.06,0.03,0.01,0.02
98119,"Queen Anne",7820,4300,1620,2540,13640,191540,21039,0.65,0.07,0.04,0.02,0.01,0.01
98121,"Belltown",1700,760,280,840,2760,20540,12628,0.22,0.13,0.08,0.04,0.01,0.04
98122,"Madrona",14620,8560,2980,4400,24780,299200,31454,0.79,0.08,0.05,0.03,0.01,0.01
98125,"North Seattle",2040,1100,320,640,3420,34460,37081,0.09,0.1,0.06,0.03,0.01,0.02
98126,"West Seattle",2140,980,380,800,3480,47620,20698,0.17,0.07,0.04,0.02,0.01,0.02
98133,"North Seattle",1440,900,280,400,2260,18200,44555,0.05,0.12,0.08,0.05,0.02,0.02
98134,"North Seattle",320,160,120,180,640,4380,644,0.99,0.15,0.07,0.04,0.03,0.04
98136,"West Seattle",600,300,60,180,980,6780,14770,0.07,0.14,0.09,0.04,0.01,0.03
